Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year,City,State
60601,10894,37.7,101250,91564,1110,10.18909491,2014,Chicago,IL
60602,1429,25.9,73971,50376,63,4.408677397,2014,Chicago,IL
60603,1002,26.5,111125,81534,199,19.86027944,2014,Chicago,IL
60604,419,52.4,155750,149109,46,10.97852029,2014,Chicago,IL
60605,25938,33.3,82777,60988,3034,11.69712391,2014,Chicago,IL
60606,2840,30.7,107819,83050,194,6.830985915,2014,Chicago,IL
60607,25927,30.3,81042,50573,5429,20.93956108,2014,Chicago,IL
60608,78952,31.3,35112,16801,20570,26.05380484,2014,Chicago,IL
60609,62405,30.7,32379,14630,20303,32.53425206,2014,Chicago,IL
60610,38482,33.7,75700,69174,6875,17.86549556,2014,Chicago,IL
60611,30648,37.6,85074,102675,2476,8.078830593,2014,Chicago,IL
60612,35598,30.8,34614,21344,11866,33.33333333,2014,Chicago,IL
60613,49292,31.6,69032,55263,5798,11.76255782,2014,Chicago,IL
60614,68573,30,88256,68257,8080,11.7830633,2014,Chicago,IL
60615,41141,32.9,40196,31561,10212,24.82195377,2014,Chicago,IL
60616,49914,36.1,43554,27632,11502,23.04363505,2014,Chicago,IL
60617,82685,36.4,38825,18183,21206,25.64673157,2014,Chicago,IL
60618,96230,33.3,56763,32029,13558,14.08916138,2014,Chicago,IL
60619,64245,39.4,34153,19797,18253,28.41154954,2014,Chicago,IL
60620,71907,38.6,32557,16988,20425,28.40474502,2014,Chicago,IL
60621,32619,31.5,19190,11823,15548,47.66547104,2014,Chicago,IL
60622,54607,31.2,71019,44186,8067,14.77283132,2014,Chicago,IL
60623,87836,28.1,29075,11441,34346,39.10241814,2014,Chicago,IL
60624,39706,27.8,22835,10888,18420,46.39097366,2014,Chicago,IL
60625,78586,33.4,57252,29523,13565,17.26134426,2014,Chicago,IL
60626,49237,34.2,37109,24927,12427,25.23914942,2014,Chicago,IL
60628,69921,38.1,37038,17007,20912,29.90803907,2014,Chicago,IL
60629,115013,29.8,40095,14295,29282,25.45973064,2014,Chicago,IL
60630,56978,38.7,62859,28114,6262,10.99020675,2014,Chicago,IL
60631,27995,44.5,74186,37136,1176,4.200750134,2014,Chicago,IL
60632,91357,30.4,38196,13597,21073,23.06665061,2014,Chicago,IL
60633,13065,37.6,43452,21175,2607,19.95407577,2014,Chicago,IL
60634,73119,38.8,55324,24392,8847,12.09945431,2014,Chicago,IL
60636,40164,32.8,27080,12195,15445,38.45483518,2014,Chicago,IL
60637,48851,30.7,26997,19972,18092,37.03506581,2014,Chicago,IL
60638,56812,37.5,62927,26244,4624,8.139125537,2014,Chicago,IL
60639,92339,30.7,38686,14422,22689,24.57141619,2014,Chicago,IL
60640,64599,37.8,46423,37329,13306,20.59784207,2014,Chicago,IL
60641,72460,35.7,48786,22941,11535,15.91912779,2014,Chicago,IL
60642,19404,31.5,70188,46478,2941,15.15666873,2014,Chicago,IL
60643,50957,43.4,60315,28288,8128,15.95070353,2014,Chicago,IL
60644,49615,31.5,26299,13400,17897,36.07175249,2014,Chicago,IL
60645,46290,35.7,48877,25728,8343,18.02333117,2014,Chicago,IL
60646,28367,43.8,72086,39861,1442,5.083371523,2014,Chicago,IL
60647,87339,31.6,54400,31155,18439,21.11198892,2014,Chicago,IL
60649,45201,38.1,27723,19763,14390,31.83557886,2014,Chicago,IL
60651,60938,32.7,32494,15273,19379,31.80117496,2014,Chicago,IL
60652,42337,35.4,63905,23484,5478,12.93903678,2014,Chicago,IL
60653,31038,35.9,25343,22162,11648,37.52819125,2014,Chicago,IL
60654,16244,32.5,92106,94773,1422,8.754001477,2014,Chicago,IL
60655,28022,37.9,86598,35592,909,3.243879809,2014,Chicago,IL
60656,28895,40,55831,29736,4195,14.51808271,2014,Chicago,IL
