Year,CityName,Measure,PopulationCount,MeasureId,Short_Question_Text
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3326,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1295,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2319,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,6867,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4567,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2683,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3498,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3721,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,3590,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3785,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1475,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4379,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2338,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,5458,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,1527,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3632,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2495,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3427,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,7320,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3817,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2559,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2695598,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,4639,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1288,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1055,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2240,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4750,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1136,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,5123,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,6805,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1393,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2226,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1421,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2717,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2488,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3104,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2922,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3206,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3405,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,1379,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2609,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5516,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1652,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3127,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3233,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1418,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2984,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,3985,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4354,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2964,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2085,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2085,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,970,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,2986,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3078,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2976,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4198,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1196,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,7254,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,5402,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,4326,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,5789,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3221,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1545,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4133,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1321,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2107,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,3156,OBESITY,Obesity
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2962,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,2544,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,3481,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1441,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1268,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3322,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1635,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1697,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,3190,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,6749,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2378,MHLTH,Mental Health
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,1664,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,3870,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,2717,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,5349,MHLTH,Mental Health
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,5042,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4870,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4028,SLEEP,Sleep <7 hours
2017,Chicago,Mental health not good for >=14 days among adults aged >=18 Years,2518,MHLTH,Mental Health
2017,Chicago,Obesity among adults aged >=18 Years,5221,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,5349,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1689,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,4354,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,2962,OBESITY,Obesity
2017,Chicago,Obesity among adults aged >=18 Years,3884,OBESITY,Obesity
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,4007,SLEEP,Sleep <7 hours
2016,Chicago,Sleeping less than 7 hours among adults aged >=18 Years,1549,SLEEP,Sleep <7 hours
2017,Chicago,Obesity among adults aged >=18 Years,1317,OBESITY,Obesity
